idx,rougeL_f1,src,ref,pred
48,0.4444444444444444,"#Person1#: 도와드릴까요?
#Person2#: 네, 다음 주 일요일 전까지 캐나다 캘거리행 비행기 티켓 3장을 예약하고 싶어요.
#Person1#: 이코노미 클래스인가요?
#Person2#: 네.
#Person1#: 편도인가요, 왕복인가요?
#Person2#: 편도로요.
#Person1#: 직항은 없고, 벤쿠버에서 환승해야 합니다.
#Person2#: 괜찮아요.
#Person1#: 캐나다 항공 30편이 다음 주 금요일 오전 10시에 베이징을 출발합니다. 좌석 3개 남아 있어요. 괜찮으신가요?
#Person2#: 네, 괜찮아요.
#Person1#: 성함 부탁드립니다.
#Person2#: 베이실, Basil이에요. 티켓 가격은 얼마인가요?
#Person1#: 한 장에 580달러입니다.","고객은 다음 주 일요일 전까지 캘거리행 이코노미 클래스 편도 비행기 티켓 3장을 예약하였으며, 벤쿠버에서 환승하는 캐나다 항공편을 선택했습니다.","#Person1#: 도와드릴까요? #Person2#: 네, 다음 주 일요일 전까지 캐나다 캘거리행 비행기 티켓 3장을 예약하고 싶어요. #Person1#: 이코노미 클래스인가요?"
83,0.380952380952381,"#Person1#: 사장님이 뭐래? 
#Person2#: 일 좀 더 열심히 하라고 하셨어. 
#Person1#: 그래. 요즘 많이 힘들어 보이더라. 무슨 일 있어? 
#Person2#: 아니야, 괜찮아. 그냥 요즘 기분이 별로야.",기운 없는 #Person2#에게 사장님이 일을 더 열심히 하라고 말씀하셨다.,#Person1#: 사장님이 뭐래? #Person2#: 일 좀 더 열심히 하라고 하셨어. #Person1#: 그래.
52,0.34782608695652173,"#Person1#: 여기 매운 땅콩 닭고기 요리 나왔습니다, 손님.
#Person2#: 감사합니다. 아주 먹음직스럽네요.
#Person1#: 따뜻할 때 드시는 걸 추천드립니다.
#Person2#: 맛있고 부드럽네요! 이거 유명한 지역 요리 중 하나겠죠?
#Person1#: 네, 전통 음식입니다.
#Person2#: 만들기도 아주 까다롭겠어요.
#Person1#: 맞습니다, 손님. 이 요리는 먼저 사천요리 셰프가 칠리 고추를 갈색빛이 돌 때까지 볶은 후에 닭가슴살을 다른 양념과 땅콩과 함께 넣고 조리하는데, 그래서 요리가 밝은 색을 띱니다.
#Person2#: 그렇군요.
#Person1#: 맛있게 드세요, 손님.","#Person2#는 매운 땅콩 닭고기 요리를 매우 좋아하며, #Person1#은 요리 방법을 설명합니다.","#Person1#: 여기 매운 땅콩 닭고기 요리 나왔습니다, 손님. #Person2#: 감사합니다. 아주 먹음직스럽네요."
400,0.30303030303030304,"#Person1#: 업그레이드를 위해 회계 시스템을 오프라인으로 전환해야 해요. 걱정 마세요, 크게 불편하지는 않을 거예요. 주말에 할 계획이에요.
#Person2#: 시스템이 얼마나 다운될 예정인가요?
#Person1#: 약 두 시간 후에 모든 걸 오프라인으로 전환할 거예요. 최소 열두 시간 동안 다운될 거예요. 계획대로라면 토요일 저녁 6시까지는 다시 온라인이 될 거예요.
#Person2#: 괜찮아요. 안전을 위해 48시간의 여유를 두었어요.",#Person1#은 업그레이드를 위해 주말 동안 회계 시스템을 오프라인으로 전환할 계획을 #Person2#에게 설명합니다. #Person2#는 예상되는 오프라인 시간에 대해 묻고 동의합니다.,"#Person1#: 업그레이드를 위해 회계 시스템을 오프라인으로 전환해야 해요. 걱정 마세요, 크게 불편하지는 않을 거예요."
256,0.28571428571428575,"#Person1#: 안녕하세요, 여기가 Bread and Cheese Deli인가요?
#Person2#: 네, 맞습니다. 어떻게 도와드릴까요?
#Person1#: 샌드위치 몇 개랑 음료를 주문하고 싶어요. 배달 가능하나요?
#Person2#: 네, 15달러 이상 주문하시면 배달 가능합니다.",#Person1#님이 Bread and Cheese Deli에서 샌드위치와 음료를 배달 주문하셨습니다.,"#Person1#: 안녕하세요, 여기가 Bread and Cheese Deli인가요? #Person2#: 네, 맞습니다. 어떻게 도와드릴까요?"
427,0.2857142857142857,"#Person1#: 새 직장에서는 뭐가 제일 좋아요?
#Person2#: 음, 일단 월급도 더 좋고, 집이랑 직장 사이 거리도 더 가까워졌어요. 근데 제일 좋은 건 업무 기술을 향상시킬 수 있는 교육 프로그램이 있다는 거예요. 그리고 이 교육들이 회사 시간에도 일부 진행되거든요. 보통 수요일과 금요일 오후 4시에서 6시 사이에요.
#Person1#: 정말 좋네요. 우리 회사도 그런 게 있었으면 좋겠다.
#Person2#: 정말 그래요. 회사가 교육비를 부담하긴 하지만, 장기적으로 보면 그만큼의 가치가 있어요. 매일 쓰는 컴퓨터 프로그램을 더 잘 이해하게 되니, 일상 업무를 더 빠르고 효과적으로 처리할 수 있거든요.",#Person2#는 새 직장에서 가장 좋은 점이 업무 기술을 향상시킬 수 있는 교육 프로그램이라고 #Person1#에게 말합니다. #Person1#은 본인의 회사도 그러기를 바랍니다. #Person2#는 장기적으로 좋은 투자라고 생각합니다.,"#Person1#: 새 직장에서는 뭐가 제일 좋아요? #Person2#: 음, 일단 월급도 더 좋고, 집이랑 직장 사이 거리도 더 가까워졌어요. 근데 제일 좋은 건 업무 기술을 향상시킬 수 있는 교육 프로그램이 있다는 거예요."
67,0.2857142857142857,"#Person1#: Wangfujing Grand Hotels입니다. 무엇을 도와드릴까요?
#Person2#: 다음 주 토요일과 일요일 밤에 방이 있나요?
#Person1#: 잠시만 기다려 주세요. 그날의 방 예약 가능 여부를 확인해보겠습니다... 네, 다음 주말에 몇 방 남아 있습니다. 더블 룸, 스위트룸, 그리고 일본식, 로마식, 프렌치식과 대통령 스타일의 디럭스 스위트룸이 있어요. 어떤 걸 선호하시나요?
#Person2#: 더블 룸으로 해주세요.
#Person1#: 알겠습니다. 성함을 알려주시겠어요?
#Person2#: 제 이름은 Monica Cellar예요.
#Person1#: 알겠습니다, Ms. Monica. 다음 주 토요일과 일요일 밤에 더블 룸으로 예약해 드렸습니다. 그럼 그때 뵙겠습니다!
#Person2#: 감사합니다.","Monica는 다음 주 토요일과 일요일 밤의 방 예약을 위해 호텔에 전화했고, 리셉션에서 도움을 받았습니다.",#Person1#: Wangfujing Grand Hotels입니다. 무엇을 도와드릴까요? #Person2#: 다음 주 토요일과 일요일 밤에 방이 있나요?
37,0.27586206896551724,"#Person1#: 뭐 도와드릴까요?
#Person2#: 네, 여기에 빈 방 있나요?
#Person1#: 세 개의 방이 있는 아파트는 어떠세요? 지금 몇 개 있습니다.
#Person2#: 그건 제가 필요한 방보다 많을 것 같아요. 가구가 별로 없거든요.","#Person1#은 세 개의 방이 있는 아파트를 추천하지만, #Person2#는 더 적은 방이 필요하다고 말합니다.","#Person1#: 뭐 도와드릴까요? #Person2#: 네, 여기에 빈 방 있나요? #Person1#: 세 개의 방이 있는 아파트는 어떠세요?"
212,0.2727272727272727,"#Person1#: Vince, 너희 프로그래머 중 한 명이 우리를 위해 WebTracker를 염탐하고 있는 것 같아.
#Person2#: 정말이야?
#Person1#: 누군진 아직 확실하지 않아서 말할 수 없지만, 곧 알게 될 거야.
#Person2#: Zina, 너 Elvin을 나쁘게 만들려는 건 아니지?
#Person1#: Elvin 아니야.
#Person2#: 그럼 Dave? Dave가 WebTracker의 스파이라니, 말도 안 돼.
#Person1#: 네가 가지고 있는 녹음기 좀 빌려줄래? 내가 돌아올 때까지 아무한테도 말하지 마.",Zina는 Vince의 프로그래머 중 한 명이 WebTracker를 염탐하고 있다고 의심하고 있다. Vince는 그 말을 믿기 어려워한다.,"#Person1#: Vince, 너희 프로그래머 중 한 명이 우리를 위해 WebTracker를 염탐하고 있는 것 같아. #Person2#: 정말이야? #Person1#: 누군진 아직 확실하지 않아서 말할 수 없지만, 곧 알게 될 거야."
402,0.26666666666666666,"#Person1#: 본인을 좋은 엄마라고 생각하세요?
#Person2#: 네, 저는 아주 좋은 엄마이자 성공적인 커리어 우먼이에요.
#Person1#: 어떻게 두 가지를 다 할 수 있으세요? 일하는 엄마가 되는 건 정말 어렵잖아요.
#Person2#: 가장 중요한 건 자신을 잘 챙기는 것 같아요. 예를 들어, 집안일을 간단하게 하고, 생활을 편하게 만드는 데 돈을 쓰고, 좋아하는 물건을 사는 등 자신을 잘 돌보면 다른 사람에게도 잘할 수 있어요.
#Person1#: 남편도 같은 생각인가요?
#Person2#: 네, 남편은 아주 이해심이 많고 저를 많이 도와줘요.",#Person2#는 좋은 엄마이자 성공적인 커리어 우먼으로서의 비결을 공유합니다.,"#Person1#: 본인을 좋은 엄마라고 생각하세요? #Person2#: 네, 저는 아주 좋은 엄마이자 성공적인 커리어 우먼이에요. #Person1#: 어떻게 두 가지를 다 할 수 있으세요?"
