bigram,count
"#person2#: 네,",3681
것 같아.,2912
"#person1#: 네,",2032
"#person1#: 아,",1865
"#person2#: 아,",1855
것 같아요.,1533
"#person2#: 응,",1533
"#person2#: 음,",1474
있어? #person2#:,1350
있나요? #person2#:,1246
#person1#: 그럼,1156
있어요. #person1#:,1120
있어. #person1#:,1025
수 있나요?,1024
거야. #person1#:,986
"#person1#: 안녕하세요,",948
도와드릴까요? #person2#:,948
거야. #person2#:,863
수 있을까요?,858
거야? #person2#:,841
"#person1#: 음,",827
수 있을,827
같아. #person1#:,817
있나요? #person1#:,812
#person2#: 정말,812
#person1#: 정말,807
있어. #person2#:,771
같아. #person2#:,769
"#person1#: 응,",766
수 있는,766
있어요. #person2#:,754
#person2#: 그럼,729
"#person2#: 아니,",714
수 있어요.,701
수 있어.,685
#person1#: 이,677
"#person1#: 안녕,",657
#person1#: 알겠습니다.,645
해. #person1#:,644
"#person2#: 맞아,",619
어때? #person2#:,618
"#person2#: 아니요,",614
있어? #person1#:,601
#person1#: 너,596
할 수,582
좀 더,578
#person1#: 오늘,566
#person1#: 그,561
해. #person2#:,556
수 있어?,550
있습니다. #person1#:,549
있을까요? #person2#:,545
있습니다. #person2#:,540
#person1#: 우리,511
거예요. #person1#:,494
싶어요. #person1#:,490
거야? #person1#:,485
#person2#: 맞아.,484
#person1#: 어떤,483
"#person1#: 맞아,",478
#person1#: 여기,477
어때? #person1#:,466
#person2#: 감사합니다.,453
주세요. #person1#:,448
#person2#: 알겠습니다.,438
#person2#: 나도,437
"#person2#: 그래,",435
수 있습니다.,414
#person1#: 나도,409
같아요. #person1#:,405
"#person1#: 그래,",404
#person1#: 나,402
같아요. #person2#:,399
싶어요. #person2#:,398
#person1#: 맞아.,397
한 번,394
있을 거야.,394
주세요. #person2#:,392
할 것,389
#person2#: 그,387
#person2#: 저는,387
#person1#: 무슨,386
#person1#: 왜,383
있을 것,381
여기 있습니다.,378
해요. #person1#:,378
거예요. #person2#:,376
무엇을 도와드릴까요?,375
#person2#: 이,374
좋을 것,374
"#person1#: 아니,",371
#person1#: 감사합니다.,363
#person1#: 안녕하세요.,361
#person2#: 여기,348
#person2#: 잘,347
볼 수,347
#person1#: 좋은,346
주실 수,345
"#person1#: 저기요,",343
있을까요? #person1#:,341
